PID,SMILES
PID00338,*CC(*)C(=O)c1ccc(CCC)cc1
PID00339,*CC(*)C(=O)c1ccc(C)cc1
PID00340,*CC(*)OC(=O)c1ccccc1OC(C)=O
PID00341,*CC(*)OC(=O)c1ccc(OC(C)=O)cc1
PID00342,*CC(*)OC(=O)CCCC(=O)c1ccccc1
PID00343,*CC(*)OC(=O)c1cccc(Br)c1
PID00344,*CC(*)OC(=O)c1ccc(Br)cc1
PID00345,*CC(*)OC(=O)c1ccc(OC(=O)CCC)cc1
PID00346,*CC(*)OC(=O)c1ccccc1Cl
PID00347,*CC(*)OC(=O)c1cccc(Cl)c1
PID00348,*CC(*)OC(=O)c1ccc(Cl)cc1
PID00349,*CC(*)OC(=O)C1CCCCC1
PID00350,*CC(*)OC(=O)CC1CCCCC1
PID00351,*CC(*)OC(=O)CCCC1CCCCC1
PID00352,*CC(*)OC(=O)c1ccc(OCC)cc1
PID00353,*CC(*)OC(=O)c1ccc(CC)cc1
PID00354,*CC(*)OC(=O)C(C)(CC)C(C)(C)C
PID00355,*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)F
PID00356,*CC(*)OC(=O)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F
PID00357,*CC(*)NC(=O)OC(C)(C)C
PID00358,*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
PID00359,*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
PID00360,*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
PID00361,*CC(*)OC(=O)C(F)(F)C(F)(F)F
PID00362,*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
PID00363,*CC(*)OC(=O)c1ccncc1
PID00364,*CC(*)OC(=O)c1ccc(C(C)C)cc1
PID00365,*CC(*)OC(=O)C(C)(C(C)C)C(C)C
PID00366,*CC(*)OC(=O)c1ccccc1OC
PID00367,*CC(*)OC(=O)c1cccc(OC)c1
PID00368,*CC(*)OC(=O)c1ccc(OC)cc1
