PID,SMILES,Polymer Class,Cp,std
P090097,*CCCCCCCCCCCC(=O)O*,Polyesters/thioesters,1761.464,0
P090098,*CCCCCCCCCCCCCC(=O)O*,Polyesters/thioesters,1748.912,0
P090177,*CCC(=O)O*,Polyesters/thioesters,1234.28,0
P100005,*CCCCCCNC(=O)CCCCC(=O)N*,Polyamides/thioamides,1782.46768,0
P170031,*O[Si](*)(C)C,Polysiloxanes/silanes,1589.92,0
P200020,*CC(C)S(*)(=O)=O,Polysulfones/sulfoxides/sufonates/sulfoamides,1158.5496,0.4184
P330084,*CC(*)[Si](C)(C)c1ccccc1,Polyvinyls,1422.56,0
P340071,*CC(*)(C)C(=O)OC(OCC)C(F)(F)F,"Polyacrylics, Polyvinyls",1214.1968,0
P362030,*CC(C)(C)C1CC=C(*)CC1,Polydienes,2188.232,225.0992
P370131,*c1ccc(Oc2ccc(-c3cc(-c4ccccc4)c4cc5c(-c6ccccc6)cc(*)nc5cc4n3)cc2)cc1,"Polyoxides/ethers/acetals, Polyimines",1380.72,0
P390214,*c1ccc(C(=O)NNC(=O)c2ccc(C(=O)NNC(=O)c3ccc(C4(*)OC(=O)c5ccccc54)cc3)cc2)cc1,"Polyesters/thioesters, Polyamides/thioamides",1096.208,0
P412164,*CC(C)CNC(=O)O*,Polyurethanes/thiourethanes,1509.1688,0
P462237,*Cc1cc(C(C)(C)c2ccc3c(c2)CN(C)CO3)cc(CN(*)C)c1O,Polyimines,1089.0952,234.304
P470033,*/C=C/[Si](*)(c1ccccc1)c1ccccc1,Polysiloxanes/silanes,506.264,0
P470034,*/C=C/[Ge](/C=C/[Si](*)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,Polysiloxanes/silanes,1228.004,0
P500002,*CC(S(=O)(=O)*)CC,Polysulfones/sulfoxides/sulfonates/sulfoamides,1221.728,0
P500003,CCCCC(S(=O)(=O)*)C*,Polysulfones/sulfoxides/sulfonates/sulfoamides,1413.3552,1.6736
P520015,*/C=C/[Ge](*)(c1ccccc1)c1ccccc1,Other polymers,439.32,0
