PID,SMILES
P020158,*CC(*)c1ccc(C(=O)CCN2CCOCC2)cc1
P020177,*CC(*)(C(=O)OC)c1ccccc1
P020181,*CC(*)(C)c1ccc(C)cc1
P020184,*C(c1ccccc1)C(*)[N+](=O)[O-]
P020185,*CC(*)c1ccc(C(=O)C(F)(F)F)cc1
P020186,*CC(*)c1ccc(C(=O)c2ccc(OC)cc2)cc1
P020187,*CC(*)c1ccc(B(O[Si](C)(C)C)O[Si](C)(C)C)cc1
P020188,*CC(*)c1cccc(B(O[Si](C)(C)C)O[Si](C)(C)C)c1
P020189,*CC(*)c1ccc2ccccc2c1
P020190,*CC(*)c1ccncc1
P020191,*CC(*)c1cccc(C)n1
P020192,*CC(*)c1ccc(C)nc1
P020193,*CC(*)n1cc2ccccc2n1
P020194,*CC(c1ccccn1)C(c1ccccc1)C(*)c1ccccn1
P020195,*CC(*)c1ccc(O)cc1
P020198,*CC(*)c1ccc(OC(C)=O)cc1
P024305,*CC(*)c1ccc(CCC)cc1
P024371,*CC(*)c1ccc(COCCCCCCOc2ccc(-c3ccc(OC)cc3)cc2)cc1
P024504,*CC(*)c1ccc(COCC(CC)CCCC)cc1
P024505,*CC(*)c1ccc(COCCOCCCCCCCC)cc1
P024507,*CC(*)c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F)cc1
P024516,*CC(CC(*)(C#N)C(=O)OC)c1ccccc1
P024527,*CC(*)c1ccc(C(=O)O)c(C(=O)O)c1
P029029,*C([2H])([2H])C(*)([2H])c1c([2H])c([2H])c([2H])c([2H])c1[2H]
P030001,*CC(*)O
P030002,*CC(*)C=O
P030003,*CC(*)OC(=O)CCCCCCCCCCC
P030004,*CC(*)OC(=O)CCCCCCCCCCCCCCC
P030005,*CC(*)OC(=O)CCCCCCCCCCCCCCCCC
P030006,*CC(*)C(C)=O
P030007,*CC(*)C(=O)C(C)C
P030009,*CC(*)(C)C(C)=O
P030010,*CC(*)C#N
P030011,*CC(*)(C)C#N
P030014,*CC(*)c1ccccn1
P030015,*CC(*)n1c2ccccc2c2ccccc21
P030016,*CC(*)C[SiH3]
P030017,*CC(*)C[Si](C)(C)C
P030018,*CC(*)OC
P030019,*CC(*)OCC
P030020,*CC(*)OCCCC
P030021,*CC(*)OCCCCC
P030022,*CC(*)OCCCCCC
P030023,*CC(*)OCCCCCCCCCC
P030024,*CC(*)OC(C)=O
P030025,*CC(*)OC(=O)CC
P030026,*CC(*)OC(=O)c1ccccc1
P030027,*CC(*)OCC(C)C
P030031,*CC(*)CCCCCCCCCO
P030032,*CC(*)CCN(C(C)C)C(C)C
P030033,*CC(*)CCCN(C(C)C)C(C)C
P030034,*CC(*)CCCN(CC(C)C)CC(C)C
P030035,*CC(*)O[N+](=O)[O-]
P030036,*/C=C/C(C)C(*)C(=O)OC
P030037,*C#C/C(COS(=O)(=O)c1ccc(C)cc1)=C(/*)COS(=O)(=O)c1ccc(C)cc1
P030038,*CC(*)CC[Si](C)(C)C
P030039,*CC(*)CCC[Si](C)(C)C
P030040,*CC(*)OC=O
P030041,*CC(*)OCc1ccccc1
P030043,*CC(*)OC(C)(C)C
P030044,*C(C)C(*)OCC(C)C
P030045,*CC(*)OC(C)C
P030046,*CC(*)(C)OC
P030047,*CC(*)OCC(C)(C)C
P030048,*CC(*)OC(C)CC
P030049,*CC(*)OC(=O)C(F)(F)F
P030051,*/C=C/C(C*)OC
P030052,*/C=C/CC(C)(CC*)C(=O)OC
P030053,*CC(*)CCc1ccccc1C
P030054,*CC(*)CCc1ccc(C)cc1
P030055,*CC(*)OCCCCCCCCCCCC
P030056,*C(C)C(*)OCCCC
P030057,*C(C)C(*)OC(C)(C)C
P030058,*C(C)C(*)OCC
P030059,*C(C)C(*)OC(C)C
P030060,*C(C)C(*)OC
P030061,*C(C)C(*)OCCC
P030062,*C1CC(*)(C#N)C1
P030064,*CC(*)Cc1cc(C)ccc1C
P030065,*CC(*)Cc1ccc(C)c(C)c1
P030066,*CC(*)Cc1cc(C)cc(C)c1
P030067,*CC(*)Cc1cccc(C)c1
