SMILES,Cp,Molar Mass (g/mol)
*CC(*)c1ccc(O)cc1,1267.31,120.14
*CC(*)c1ccc(OC(C)=O)cc1,1324.21,162.18
*CC(*)c1ccc(CCC)cc1,1450.47,146.22
*CC(*)c1ccc(COCCCCCCOc2ccc(-c3ccc(OC)cc3)cc2)cc1,1408.71,416.54
*CC(*)c1ccc(COCC(CC)CCCC)cc1,1585.0,246.38
*CC(*)c1ccc(COCCOCCCCCCCC)cc1,1607.44,290.43
*CC(*)c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F)cc1,1400.46,404.2
*CC(CC(*)(C#N)C(=O)OC)c1ccccc1,1293.0,215.24
*CC(*)c1ccc(C(=O)O)c(C(=O)O)c1,1149.28,192.16
*C([2H])([2H])C(*)([2H])c1c([2H])c([2H])c([2H])c([2H])c1[2H],1275.64,104.14
*CC(*)O,1526.83,44.05
*CC(*)C=O,1468.55,56.06
*CC(*)OC(=O)CCCCCCCCCCC,1693.23,226.35
*CC(*)OC(=O)CCCCCCCCCCCCCCC,1715.9,282.45
*CC(*)OC(=O)CCCCCCCCCCCCCCCCC,1724.16,310.5
*CC(*)C(C)=O,1528.08,70.09
*CC(*)C(=O)C(C)C,1611.37,98.14
*CC(*)(C)C(C)=O,1585.23,84.11
*CC(*)C#N,1240.95,53.06
*CC(*)(C)C#N,1372.63,67.09
*CC(*)n1c2ccccc2c2ccccc21,1179.63,193.24
*CC(*)C[Si](C)(C)C,1895.75,100.18
*CC(*)OC,1762.63,58.08
*CC(*)OCC,1771.33,72.1
*CC(*)OCCCC,1781.42,100.16
*CC(*)OCCCCC,1784.61,114.18
*CC(*)OCCCCCC,1787.1,128.21
*CC(*)OCCCCCCCCCC,1793.26,184.31
*CC(*)OC(C)=O,1507.29,86.09
*CC(*)OC(=O)CC,1549.33,100.11
*CC(*)OC(=O)c1ccccc1,1256.94,148.15
*CC(*)OCC(C)C,1784.82,100.16
*CC(*)CCCCCCCCCO,1734.79,170.29
*CC(*)CCN(C(C)C)C(C)C,1814.87,155.28
*CC(*)CCCN(C(C)C)C(C)C,1814.25,169.3
*CC(*)CCCN(CC(C)C)CC(C)C,1813.27,197.36
*CC(*)O[N+](=O)[O-],1525.93,89.05
*/C=C/C(C)C(*)C(=O)OC,1671.42,126.15
*C#C/C(COS(=O)(=O)c1ccc(C)cc1)=C(/*)COS(=O)(=O)c1ccc(C)cc1,1138.82,418.48
*CC(*)CC[Si](C)(C)C,1884.89,114.21
*CC(*)CCC[Si](C)(C)C,1876.41,128.23
*CC(*)OC=O,1503.01,72.06
*CC(*)OCc1ccccc1,1372.74,134.17
*CC(*)OC(C)(C)C,1793.7,100.16
*C(C)C(*)OCC(C)C,1790.56,114.18
*CC(*)OC(C)C,1781.14,86.13
*CC(*)(C)OC,1783.67,72.1
*CC(*)OCC(C)(C)C,1795.38,114.18
*CC(*)OC(C)CC,1784.82,100.16
*CC(*)OC(=O)C(F)(F)F,1419.71,140.06
*/C=C/C(C*)OC,1875.67,84.11
*/C=C/CC(C)(CC*)C(=O)OC,1699.72,154.2
*CC(*)CCc1ccccc1C,1450.47,146.22
*CC(*)CCc1ccc(C)cc1,1450.47,146.22
*CC(*)OCCCCCCCCCCCC,1795.13,212.36
*C(C)C(*)OCCCC,1787.58,114.18
*C(C)C(*)OC(C)(C)C,1798.36,114.18
*C(C)C(*)OCC,1781.14,86.13
*C(C)C(*)OC(C)C,1788.21,100.16
*C(C)C(*)OC,1776.05,72.1
*C(C)C(*)OCCC,1784.82,100.16
*C1CC(*)(C#N)C1,1231.35,79.1
*CC(*)Cc1cc(C)ccc1C,1485.96,146.22
*CC(*)Cc1ccc(C)c(C)c1,1485.96,146.22
*CC(*)Cc1cc(C)cc(C)c1,1485.96,146.22
*CC(*)Cc1cccc(C)c1,1412.6,132.2
*CC(*)Cc1ccccc1C,1412.6,132.2
*CC(*)Cc1ccc(C)cc1,1412.6,132.2
*C(C)C(*)O,1600.43,58.08
*CC(*)OC(=O)c1ccc(C(C)(C)C)cc1,1429.76,204.26
*CC(*)C(=O)C(C)(C)C,1643.81,112.17
*CC(*)C(=O)C1CCCCC1,1547.08,138.2
*CC(*)OC(=O)CCCCCCCCCCCCC,1705.82,254.4
*CC(*)C(=O)c1ccccc1O,1235.0,148.15
*/C=C/C(C*)OC,1875.67,84.11
*CC/C=C(/*)c1ccccc1,1389.61,130.18
*C(*)O,1395.79,30.03
*CC(*)OCC(CC)CCCC,1792.91,156.26
*CC(*)SCCCC,1518.08,116.23
*CC(*)OC1CCCCC1,1656.84,126.19
*CC(*)SCC,1426.04,88.17
*C(F)(F)C(*)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1445.61,316.06
*C(F)(F)C(*)(F)OC(F)(F)C(F)(F)F,1450.01,216.04
*C(F)(F)C(*)(OC(F)(F)F)OC(F)(F)F,1461.99,232.04
*C(OC(F)(F)F)C(*)(F)F,1472.12,148.04
*C(F)C(*)(F)OC(F)(F)F,1472.12,148.04
*C(F)(F)C(*)(F)OC(F)(F)F,1454.2,166.03
*CC(*)OCC(C)(C)CC,1796.69,128.21
*CC(*)SC,1353.91,74.15
*CC(*)OCCCCCCCC,1790.73,156.26
*CC(*)OCCC,1777.2,86.13
*CC(*)(F)C(C)=O,1482.86,88.08
