PID,SMILES,Cp,No Zero Cp Group
P020104,*CC(*)c1ccc(C(=O)c2ccccc2)cc1,1096.78,True
P020105,*CC(*)c1ccc(C(=O)c2ccc(C)cc2)cc1,1136.0,True
P020108,*CC(*)c1ccc(F)cc1,1155.68,True
P020110,*CC(*)c1ccc(I)cc1,617.95,True
P020111,*CC(*)c1ccc(N(C)C)cc1,1349.4,True
P020112,*CC(*)c1ccc(OC)cc1,1248.04,True
P020113,*CC(*)c1ccc(OCC)cc1,1300.98,True
P020114,*CC(*)c1ccc(OCCC)cc1,1344.76,True
P020115,*CC(*)c1ccc(OCCCC)cc1,1381.58,True
P020116,*CC(*)c1ccc(OCCC(C)C)cc1,1390.89,True
P020117,*CC(*)c1ccc(Oc2ccccc2)cc1,1132.06,True
P020118,*CC(*)c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,1108.54,True
P020119,*CC(*)c1ccc(S(=O)(=O)OCCC)cc1,1184.97,True
P020120,*CC(*)c1ccc([Si](C)(C)C)cc1,1414.81,True
P020121,*CC(*)c1c(Cl)cccc1Cl,966.03,True
P020122,*CC(*)c1ccc(C)cc1C,1321.9,True
P020123,*CC(*)c1ccc(C(C)C)cc1C(C)C,1421.93,True
P020124,*CC(*)c1ccc(F)cc1C,1213.63,True
P020125,*CC(*)c1ccc(Cl)cc1C,1120.16,True
P020126,*CC(*)c1ccc(Cl)cc1Cl,966.03,True
P020130,*CC(*)c1cc(C)ccc1C,1321.9,True
P020131,*CC(*)c1cc(C(C)(C)C)ccc1C,1392.92,True
P020132,*CC(*)c1cc(C(C)C)ccc1C(C)C,1421.93,True
P020133,*CC(*)c1cc(Cl)ccc1Cl,966.03,True
P020134,*CC(*)c1cc(F)ccc1F,1111.48,True
P020135,*CC(*)c1cc(C)ccc1F,1213.63,True
P020136,*CC(*)c1cc(Br)ccc1OCCCC,1030.81,True
P020137,*CC(*)c1cc(Br)ccc1OCC,934.88,True
P020138,*CC(*)c1cc(Br)ccc1OC,877.44,True
P020139,*CC(*)c1cc(Br)ccc1OCCC,985.63,True
P020140,*CC(*)c1cc(Br)ccc1OC(C)C,968.21,True
P020141,*CC(*)c1cc(Br)ccc1OCCCCC,1071.27,True
P020142,*CC(*)c1cc(Br)ccc1OCCC(C)C,1055.67,True
P020143,*CC(*)c1cc(C)cc(C)c1,1321.9,True
P020144,*CC(*)c1ccc(C)c(C)c1,1321.9,True
P020145,*CC(*)c1ccc(Cl)c(C)c1,1120.16,True
P020146,*CC(*)c1ccc(Cl)c(Cl)c1,966.03,True
P020147,*CC(*)c1ccc(Cl)c(F)c1,1031.12,True
P020148,*CC(*)c1c(C)cc(C)cc1C,1358.55,True
P020149,*CC(*)c1cc(C)c(C)cc1C,1358.55,True
P020150,*CC(*)c1c(F)c(F)c(F)c(F)c1F,1091.42,True
P020151,*CC(*)(C)c1ccccc1,1252.86,True
P020152,*CC(*)(C)c1ccc(C(C)C)cc1,1364.45,True
P020153,*C(F)(F)C(*)(F)c1ccccc1,1025.8,True
P020154,*C(F)(F)C(*)(F)c1c(F)c(F)c(F)c(F)c1F,998.04,True
P020156,*CC(*)c1cccc2ccccc12,1075.92,True
P020157,*CC(*)c1ccc(C(C)=O)cc1,1188.26,True
P020158,*CC(*)c1ccc(C(=O)CCN2CCOCC2)cc1,1340.33,True
P020177,*CC(*)(C(=O)OC)c1ccccc1,1196.51,True
P020181,*CC(*)(C)c1ccc(C)cc1,1302.23,True
P020184,*C(c1ccccc1)C(*)[N+](=O)[O-],1123.06,True
P020185,*CC(*)c1ccc(C(=O)C(F)(F)F)cc1,1065.17,True
P020186,*CC(*)c1ccc(C(=O)c2ccc(OC)cc2)cc1,1130.22,True
P020189,*CC(*)c1ccc2ccccc2c1,1075.92,True
P020195,*CC(*)c1ccc(O)cc1,1138.22,True
P020198,*CC(*)c1ccc(OC(C)=O)cc1,1212.54,True
P024305,*CC(*)c1ccc(CCC)cc1,1377.02,True
P024371,*CC(*)c1ccc(COCCCCCCOc2ccc(-c3ccc(OC)cc3)cc2)cc1,1287.04,True
P024504,*CC(*)c1ccc(COCC(CC)CCCC)cc1,1485.73,True
P024505,*CC(*)c1ccc(COCCOCCCCCCCC)cc1,1507.25,True
P024507,*CC(*)c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F)cc1,1046.87,True
P024516,*CC(CC(*)(C#N)C(=O)OC)c1ccccc1,1207.93,True
P024527,*CC(*)c1ccc(C(=O)O)c(C(=O)O)c1,1108.17,True
P029029,*C([2H])([2H])C(*)([2H])c1c([2H])c([2H])c([2H])c([2H])c1[2H],1215.14,True
P030001,*CC(*)O,1315.49,True
P030002,*CC(*)C=O,1308.37,True
P030003,*CC(*)OC(=O)CCCCCCCCCCC,1640.62,True
P030004,*CC(*)OC(=O)CCCCCCCCCCCCCCC,1673.74,True
P030005,*CC(*)OC(=O)CCCCCCCCCCCCCCCCC,1685.81,True
P030006,*CC(*)C(C)=O,1354.01,True
P030007,*CC(*)C(=O)C(C)C,1440.8,True
P030009,*CC(*)(C)C(C)=O,1383.84,True
P030010,*CC(*)C#N,1242.84,True
P030011,*CC(*)(C)C#N,1303.47,True
P030015,*CC(*)n1c2ccccc2c2ccccc21,1115.98,True
P030017,*CC(*)C[Si](C)(C)C,1757.8,True
P030018,*CC(*)OC,1526.4,True
P030019,*CC(*)OCC,1581.05,True
P030020,*CC(*)OCCCC,1644.43,True
P030021,*CC(*)OCCCCC,1664.45,True
P030022,*CC(*)OCCCCCC,1680.08,True
P030023,*CC(*)OCCCCCCCCCC,1718.82,True
P030024,*CC(*)OC(C)=O,1368.95,True
P030025,*CC(*)OC(=O)CC,1430.37,True
P030026,*CC(*)OC(=O)c1ccccc1,1164.67,True
P030027,*CC(*)OCC(C)C,1602.5,True
P030031,*CC(*)CCCCCCCCCO,1680.11,True
P030032,*CC(*)CCN(C(C)C)C(C)C,1697.28,True
P030033,*CC(*)CCCN(C(C)C)C(C)C,1706.4,True
P030034,*CC(*)CCCN(CC(C)C)CC(C)C,1720.75,True
P030035,*CC(*)O[N+](=O)[O-],1217.8,True
P030036,*/C=C/C(C)C(*)C(=O)OC,1397.54,True
P030037,*C#C/C(COS(=O)(=O)c1ccc(C)cc1)=C(/*)COS(=O)(=O)c1ccc(C)cc1,1044.48,True
P030038,*CC(*)CC[Si](C)(C)C,1763.89,True
P030039,*CC(*)CCC[Si](C)(C)C,1768.64,True
P030040,*CC(*)OC=O,1251.01,True
P030041,*CC(*)OCc1ccccc1,1257.36,True
P030043,*CC(*)OC(C)(C)C,1564.06,True
P030044,*C(C)C(*)OCC(C)C,1590.88,True
P030045,*CC(*)OC(C)C,1569.14,True
P030046,*CC(*)(C)OC,1527.65,True
P030047,*CC(*)OCC(C)(C)C,1593.95,True
P030048,*CC(*)OC(C)CC,1602.5,True
P030049,*CC(*)OC(=O)C(F)(F)F,1123.42,True
P030051,*/C=C/C(C*)OC,1497.37,True
P030052,*/C=C/CC(C)(CC*)C(=O)OC,1474.36,True
P030053,*CC(*)CCc1ccccc1C,1377.02,True
P030054,*CC(*)CCc1ccc(C)cc1,1377.02,True
P030055,*CC(*)OCCCCCCCCCCCC,1730.52,True
P030056,*C(C)C(*)OCCCC,1627.66,True
P030057,*C(C)C(*)OC(C)(C)C,1557.16,True
P030058,*C(C)C(*)OCC,1569.14,True
P030059,*C(C)C(*)OC(C)C,1560.57,True
P030060,*C(C)C(*)OC,1522.8,True
P030061,*C(C)C(*)OCCC,1602.5,True
P030062,*C1CC(*)(C#N)C1,1232.62,True
P030064,*CC(*)Cc1cc(C)ccc1C,1368.47,True
P030065,*CC(*)Cc1ccc(C)c(C)c1,1368.47,True
P030066,*CC(*)Cc1cc(C)cc(C)c1,1368.47,True
P030067,*CC(*)Cc1cccc(C)c1,1331.36,True
P030068,*CC(*)Cc1ccccc1C,1331.36,True
P030069,*CC(*)Cc1ccc(C)cc1,1331.36,True
P030070,*C(C)C(*)O,1361.96,True
P030071,*CC(*)OC(=O)c1ccc(C(C)(C)C)cc1,1295.67,True
P030072,*CC(*)C(=O)C(C)(C)C,1452.31,True
P030074,*CC(*)C(=O)C1CCCCC1,1493.1,True
P030075,*CC(*)OC(=O)CCCCCCCCCCCCC,1659.0,True
P030076,*CC(*)C(=O)c1ccccc1O,1078.61,True
P030077,*/C=C/C(C*)OC,1497.37,True
P030078,*CC/C=C(/*)c1ccccc1,1270.93,True
P030079,*C(*)O,1085.73,True
P030080,*CC(*)OCC(CC)CCCC,1676.05,True
P030081,*CC(*)SCCCC,1479.45,True
P030082,*CC(*)OC1CCCCC1,1585.68,True
P030083,*CC(*)SCC,1375.12,True
P030084,*C(F)(F)C(*)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,983.36,True
P030085,*C(F)(F)C(*)(F)OC(F)(F)C(F)(F)F,985.0,True
P030086,*C(F)(F)C(*)(OC(F)(F)F)OC(F)(F)F,989.48,True
P030087,*C(OC(F)(F)F)C(*)(F)F,1025.41,True
P030088,*C(F)C(*)(F)OC(F)(F)F,1025.41,True
P030089,*C(F)(F)C(*)(F)OC(F)(F)F,986.57,True
P030091,*CC(*)OCC(C)(C)CC,1617.29,True
P030092,*CC(*)SC,1293.36,True
